quarter,market_new_accounts,market_source,url,dse_new_accounts,dse_source,dse_share,note,accessed
Q4/2024,432000,VSDC via nhadautu.vn ('hơn 432.000'),https://nhadautu.vn/tai-khoan-chung-khoan-mo-moi-thap-nhat-5-thang-d91530.html,99509.0,DNSE BCTN 2024 monthly table,0.2303449074074074,"market figure is a rounded lower bound ('more than'), so share is an upper bound",2026-09-26
Q2/2026,768000,VSDC via baomoi.com ('hơn 768.000'),https://baomoi.com/thi-truong-chung-khoan-viet-vuot-moc-13-trieu-tai-khoan-giao-dich-c55329888.epi,,not published - left blank,,"market figure is a rounded lower bound ('more than'), so share is an upper bound",2026-09-26
