broker,company_fee_low_volume_vnd,company_fee_top_tier_vnd,exchange_fee_vnd,vsdc_clearing_fee_vnd,all_in_low_volume_vnd,vsdc_margin_asset_fee,company_fee_schedule,unit,url,accessed,legal_basis_exchange_vsdc,note
DNSE,1000,300,2700,2550,6250,"0.0024%/month of margin assets (min 100k, max 1.6m VND/account/month) - same for all","1,000 (<100 contracts/day) / 800 / 500 / 300 (1,500-1,999) / 300 or negotiated (>=2,000)",VND per contract per side (VN30 index futures),https://hdsd.dnse.com.vn/san-pham-dich-vu/bieu-phi-dich-vu-dnse/bieu-phi-giao-dich-phai-sinh,2026-09-26,https://luatvietnam.vn/chung-khoan/van-ban-hop-nhat-30-2026-vbhn-tt-btc-2026-huong-dan-co-che-chinh-sach-gia-dich-vu-chung-khoan-446894-d5.html,
SSI,2000,500,2700,2550,7250,"0.0024%/month of margin assets (min 100k, max 1.6m VND/account/month) - same for all","per BA dataset (2.5_Pricing, [S17]); not re-read",VND per contract per side (VN30 index futures),https://www.ssi.com.vn/khach-hang-ca-nhan/bieu-gia-dich-vu-ap-dung-cho-tkgd-chung-khoan-phai-sinh,2026-09-26,https://luatvietnam.vn/chung-khoan/van-ban-hop-nhat-30-2026-vbhn-tt-btc-2026-huong-dan-co-che-chinh-sach-gia-dich-vu-chung-khoan-446894-d5.html,"company fee from BA dataset, link supplied by Phong, values not re-checked"
VPS,2000,1000,2700,2550,7250,"0.0024%/month of margin assets (min 100k, max 1.6m VND/account/month) - same for all","2,000 (<200 contracts/day) / 1,000 (>=200); applies from 05/05/2025",VND per contract per side (VN30 index futures),https://images.vps.com.vn/2025/files/bieu-phi-giao-dich-chung-khoan-phai-sinh-05052025-cd8e.pdf,2026-09-26,https://luatvietnam.vn/chung-khoan/van-ban-hop-nhat-30-2026-vbhn-tt-btc-2026-huong-dan-co-che-chinh-sach-gia-dich-vu-chung-khoan-446894-d5.html,
TCBS,0,0,2700,2550,5250,"0.0024%/month of margin assets (min 100k, max 1.6m VND/account/month) - same for all",Zero fee since 01/01/2023 until further notice,VND per contract per side (VN30 index futures),https://help.tcbs.com.vn/bieu-phi-giao-dich-chung-khoan-phai-sinh/,2026-09-26,https://luatvietnam.vn/chung-khoan/van-ban-hop-nhat-30-2026-vbhn-tt-btc-2026-huong-dan-co-che-chinh-sach-gia-dich-vu-chung-khoan-446894-d5.html,"VSD clearing 5,100 if position opened and closed intraday (TCBS page)"
