ticker,brk_gross_H1_2025,brk_gross_H1_2026,brk_gross_last4Q_Q3-25_Q2-26,exchange_fees_H1_2026,brk_net_H1_2026,fee_split_quality,lending_income_H1_2026
DSE,122.8,222.1,503.22299999999996,113.351930056,108.706234939,explicit,336.1
SSI,795.8,1069.0,2618.6600000000003,264.373179239,804.079154081,proxy,2141.4
VND,353.4,381.6,1000.095,181.192635918,200.461015971,proxy,777.98
HCM,397.1,521.0,1313.003,185.383142766,335.58209226200006,explicit,1531.3
VCI,370.4,565.6,1194.767,,,not disclosed,877.5
MBS,325.4,404.9,1003.0509999999999,104.428568509,300.524643769,explicit,904.7
SAMPLE_TOTAL,2364.9,3164.2,7632.798999999999,848.729456488,1749.353141022,,6568.98
