ticker,bank_affiliated,lending_yield,funding_cost_A,funding_cost_B,spread_A_pp,spread_B_pp,rank_spread_A,rank_spread_B,contrib_margin_h1_25,contrib_margin_h1_26,exchange_fees_h1_26,brk_rev_net_h1_26,contrib_margin_net_h1_26,contrib_basis,contrib_margin_used,rank_contrib
DSE,False,0.1107842410158793,0.06288904176863533,0.015007340547006686,4.789519924724398,9.577690046887263,4,1,-0.1815960912052117,-0.19990995047276006,113.351930056,108.748069944,-0.40828310813114993,net,-0.40828310813114993,6
SSI,False,0.1078618407383202,0.05322824405201563,0.05322824405201563,5.463359668630456,5.463359668630456,2,3,0.2459160593113847,0.3393826005612722,264.373179239,804.626820761,0.45089225295382396,net,0.45089225295382396,2
VND,False,0.11450126646365963,0.05168109193902423,0.05168109193902423,6.28201745246354,6.28201745246354,1,2,0.33163554046406335,0.29952830188679247,181.192635918,200.40736408200002,0.5703383232625736,net,0.5703383232625736,1
HCM,False,0.10713336225110891,0.07241536769787431,0.07241536769787431,3.4717994553234597,3.4717994553234597,6,6,0.2319315033996475,0.2289827255278311,185.383142766,335.616857234,0.35546486247209336,net,0.35546486247209336,4
VCI,False,0.10536427220604569,0.06258919545501002,0.06258919545501002,4.277507675103568,4.277507675103568,5,5,0.2105831533477322,0.38277934936350777,,,,gross (fees not disclosed),0.38277934936350777,3
MBS,True,0.11355342389240855,0.06341276115912345,0.06341276115912345,5.01406627332851,5.01406627332851,3,4,0.1398279041180086,0.137070881699185,104.428568509,300.471431491,0.1847097400395032,net,0.1847097400395032,5
