period,share,source
FY2024,0.216,DNSE Annual Report 2024
Q4/2024,0.2303449074074074,"DNSE Annual Report 2024 / VSDC via press ('more than 432,000') – upper bound"
Q1/2025,0.33786579882449647,"DNSE Annual Report 2025, Figure 21"
Q2/2025,0.179472774638648,"DNSE Annual Report 2025, Figure 21"
Q3/2025,0.1645273443505741,"DNSE Annual Report 2025, Figure 21"
Q4/2025,0.18751388875469802,"DNSE Annual Report 2025, Figure 21"
FY2025,0.20144719487013127,"DNSE Annual Report 2025, Figure 21"
Q1/2026,0.18,"Vietstock 18/04/2026 (142,000 accounts, 18%)"
