ticker,bank_affiliated,lending_bn,equity_bn,quarter,ceiling_bn,utilisation,headroom_bn,headroom_vs_book
DSE,False,5832.2,4302.33,Q4/2025,8604.66,0.6777955201018983,2772.46,0.4753712149789102
SSI,False,38940.1,31054.0,Q4/2025,62108.0,0.6269739808076255,23167.9,0.594962519356653
VND,False,14319.0,20902.91,Q4/2025,41805.82,0.34251211912599727,27486.82,1.9196047210000697
HCM,False,28150.1,14543.14,Q4/2025,29086.28,0.9678136908535571,936.1800000000003,0.03325672022479495
VCI,False,16167.2,18009.9,Q4/2025,36019.8,0.44884202577471277,19852.600000000002,1.2279553664209018
MBS,True,15040.6,7994.8,Q4/2025,15989.6,0.9406489217991695,949.0,0.06309588713216228
SAMPLE,False,118449.2,96807.08,Q4/2025,193614.16,0.6117796342994748,75164.96,0.6345754973440092
DSE,False,6303.1,5440.25,Q2/2026,10880.5,0.5793024217637057,4577.4,0.7262140851327124
SSI,False,40472.6,39592.0,Q2/2026,79184.0,0.5111209335219236,38711.4,0.9564841398872325
VND,False,12859.04,21432.12,Q2/2026,42864.24,0.29999458756296626,30005.199999999997,2.333393472607597
HCM,False,29023.5,14639.79,Q2/2026,29279.58,0.991253972905349,256.08000000000175,0.008823194997157537
VCI,False,17145.8,17137.89,Q2/2026,34275.78,0.5002307752004477,17129.98,0.9990773250591982
MBS,True,16828.1,11941.66,Q2/2026,23883.32,0.7045963459016585,7055.220000000001,0.41925232200902074
SAMPLE,False,122632.13999999998,110183.71,Q2/2026,220367.42,0.5564894302433635,97735.28000000003,0.7969793236911632
